City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,mount gambier,-37.8333,140.7667,30.72,24,2,0.91,AU,1707013046
121,bamboo flat,11.7,92.7167,24.05,94,11,0.51,IN,1707013046
122,andreyevo,55.9465,41.1505,-7.28,96,100,3.9,RU,1707013046
123,najran,17.4924,44.1277,12.36,44,3,0.91,SA,1707013046
124,palmer,42.1584,-72.3287,-0.25,58,0,6.17,US,1707013046
125,talnakh,69.4865,88.3972,-14.33,96,100,3.88,RU,1707013047
126,tokar,18.4254,37.729,19.92,66,15,3.49,SD,1707013047
127,lebu,-37.6167,-73.65,14.44,82,0,8.97,CL,1707013047
128,nuuk,64.1835,-51.7216,-12.66,66,30,6.69,GL,1707013047
129,tripoli,32.8752,13.1875,13.5,67,9,1.85,LY,1707013047
130,longyearbyen,78.2186,15.6401,-11.09,79,0,3.09,SJ,1707013047
131,arraial do cabo,-22.9661,-42.0278,25.05,92,100,6.06,BR,1707013014
132,at taraf,25.3628,49.725,10.3,57,11,3.26,SA,1707013048
133,nar'yan-mar,67.6713,53.087,-13.27,84,17,7.15,RU,1707013048
134,kodiak,57.79,-152.4072,1.73,87,100,3.09,US,1707013048
135,usinsk,65.9939,57.5281,-25.52,97,9,1.79,RU,1707013048
136,kirakira,-10.4544,161.9205,30.46,70,82,5.94,SB,1707013048
137,la sarre,48.8002,-79.1996,-9.23,98,54,0.85,CA,1707013048
138,farasan,16.7022,42.1183,25.09,69,90,4.73,SA,1707013049
139,zaozersk,69.4005,32.4476,-5.96,92,100,5.6,RU,1707013049
140,pimentel,-6.8367,-79.9342,25.16,73,40,6.17,PE,1707013049
141,colonia,50.9333,6.95,10.59,91,100,4.12,DE,1707012804
142,khvoynaya,58.9,34.5333,-0.27,97,100,4.39,RU,1707013049
143,kingston,17.997,-76.7936,26.53,69,20,1.54,JM,1707012890
144,menongue,-14.6585,17.691,17.08,92,99,0.89,AO,1707013050
145,saint-philippe,-21.3585,55.7679,20.77,70,61,3.47,RE,1707013050
146,queenstown,-31.8976,26.8753,18.34,80,63,0.56,ZA,1707013050
